timestamp,gram,status_text,status_num
2025-12-29 06:19:47,1 gr,BELUM TERSEDIA,1
2025-12-29 06:19:47,2 gr,BELUM TERSEDIA,1
2025-12-29 06:19:47,3 gr,BELUM TERSEDIA,1
2025-12-29 06:19:47,5 gr,BELUM TERSEDIA,1
2025-12-29 06:19:47,10 gr,BELUM TERSEDIA,1
2025-12-29 06:21:07,0.5 gr,BELUM TERSEDIA,1
2025-12-29 06:21:07,1 gr,BELUM TERSEDIA,1
2025-12-29 06:21:07,2 gr,BELUM TERSEDIA,1
2025-12-29 06:21:07,3 gr,BELUM TERSEDIA,1
2025-12-29 06:21:07,5 gr,BELUM TERSEDIA,1
2025-12-29 06:21:07,10 gr,BELUM TERSEDIA,1
2025-12-29 06:22:30,0.5 gr,BELUM TERSEDIA,1
2025-12-29 06:22:30,1 gr,BELUM TERSEDIA,1
2025-12-29 06:22:30,2 gr,BELUM TERSEDIA,1
2025-12-29 06:22:30,3 gr,BELUM TERSEDIA,1
2025-12-29 06:22:30,5 gr,BELUM TERSEDIA,1
2025-12-29 06:22:30,10 gr,BELUM TERSEDIA,1
2025-12-29 06:23:50,0.5 gr,BELUM TERSEDIA,1
2025-12-29 06:23:50,1 gr,BELUM TERSEDIA,1
2025-12-29 06:23:50,2 gr,BELUM TERSEDIA,1
2025-12-29 06:23:50,3 gr,BELUM TERSEDIA,1
2025-12-29 06:23:50,5 gr,BELUM TERSEDIA,1
2025-12-29 06:23:50,10 gr,BELUM TERSEDIA,1
2025-12-29 06:25:09,0.5 gr,BELUM TERSEDIA,1
2025-12-29 06:25:09,1 gr,BELUM TERSEDIA,1
2025-12-29 06:25:09,2 gr,BELUM TERSEDIA,1
2025-12-29 06:25:09,3 gr,BELUM TERSEDIA,1
2025-12-29 06:25:09,5 gr,BELUM TERSEDIA,1
2025-12-29 06:25:09,10 gr,BELUM TERSEDIA,1
2025-12-29 06:26:30,0.5 gr,BELUM TERSEDIA,1
2025-12-29 06:26:30,1 gr,BELUM TERSEDIA,1
2025-12-29 06:26:30,2 gr,BELUM TERSEDIA,1
2025-12-29 06:26:30,3 gr,BELUM TERSEDIA,1
2025-12-29 06:26:30,5 gr,BELUM TERSEDIA,1
2025-12-29 06:26:30,10 gr,BELUM TERSEDIA,1
2025-12-29 06:27:54,0.5 gr,BELUM TERSEDIA,1
2025-12-29 06:27:54,1 gr,BELUM TERSEDIA,1
2025-12-29 06:27:54,2 gr,BELUM TERSEDIA,1
2025-12-29 06:27:54,3 gr,BELUM TERSEDIA,1
2025-12-29 06:27:54,5 gr,BELUM TERSEDIA,1
